date,sum_open_interest,sum_open_interest_value
2023-11-09,89160.75045486112,3264672458.4354897
2023-11-10,79659.41482291667,2943979100.8146095
2023-11-11,80300.17850694444,2978531439.907629
2023-11-12,81323.05545833333,3017084620.480851
2023-11-13,81469.61435763889,3005389566.687586
2023-11-14,80788.7265625,2928585602.0088263
2023-11-15,81208.99877083334,2945276809.8842406
2023-11-16,84229.75492013889,3113556713.1822968
2023-11-17,79035.44757638889,2874209117.085367
2023-11-18,78962.86321527777,2882032638.0781436
2023-11-19,79888.17971875,2927501837.447142
2023-11-20,80464.35414930555,3001592332.974693
2023-11-21,83400.91100000001,3098034894.5310283
2023-11-22,79605.49821527778,2918222921.674719
2023-11-23,81519.12833680556,3042209472.3586392
2023-11-24,82204.53078819445,3094267657.2765326
2023-11-25,79316.25170833332,2993945315.358014
2023-11-26,79609.86188194444,2991631015.5059032
2023-11-27,79612.28102430556,2957371084.964765
2023-11-28,80439.42503472223,3011105627.230486
2023-11-29,82967.24601041667,3147362282.3449626
2023-11-30,83265.0956701389,3144743707.9048867
2023-12-01,87124.18185069444,3346111247.6876025
2023-12-02,86984.63357291667,3381133532.854722
2023-12-03,81852.90996180555,3236379444.7549887
2023-12-04,83531.46710763889,3461788899.4972343
2023-12-05,84113.82317013889,3566571928.831831
2023-12-06,84602.52538541667,3713041294.5052247
2023-12-07,85446.2007986111,3723101824.444891
2023-12-08,84386.67771875,3686174612.5499578
2023-12-09,81919.33704166667,3608479297.563404
2023-12-10,82952.65242708333,3637238248.1977406
2023-12-11,77500.81496527778,3252415958.2673063
2023-12-12,76898.02419097222,3196424203.514692
2023-12-13,79407.66771527778,3307000305.309872
2023-12-14,77717.44387847223,3330254768.8545218
2023-12-15,76055.70358333334,3231652413.309419
2023-12-16,76338.4374826389,3229831634.4936857
2023-12-17,76811.24662847222,3224231640.763029
2023-12-18,77586.03862152778,3213687777.5422115
2023-12-19,78021.95285069445,3334630344.287082
2023-12-20,78997.7416388889,3413859688.070023
2023-12-21,80861.88228472223,3538751165.704784
2023-12-22,79620.29734722222,3489844529.5710907
2023-12-23,78770.62919097222,3442321447.0894527
2023-12-24,78616.37446875,3431274982.581808
2023-12-25,77832.60654861112,3374902251.36803
2023-12-26,78994.74708680555,3376492234.3508782
2023-12-27,78130.53671875,3347928788.847135
2023-12-28,75413.14360416666,3239877835.0586295
2023-12-29,75493.64302083333,3204572798.618396
2023-12-30,76502.8644548611,3224200217.4938397
2023-12-31,75233.56576736111,3196137726.1997104
2024-01-01,74914.01002083333,3209448754.1772437
2024-01-02,79834.9019375,3614320982.5234594
2024-01-03,74308.15249305556,3271909592.216862
2024-01-04,70134.21922916667,3049133921.7012577
2024-01-05,68982.55450347223,3018107487.442393
2024-01-06,68031.18126041668,2980539520.1899323
2024-01-07,70522.43127430555,3107343694.4758577
2024-01-08,72439.50628819445,3249955314.3264856
2024-01-09,73699.62159375001,3437704414.079179
2024-01-10,70803.94191666666,3243923793.48198
2024-01-11,69648.85966319445,3243891234.143207
2024-01-12,75992.70679166667,3423809968.321253
2024-01-13,75218.00257638888,3224559964.7340913
2024-01-14,76065.49645833333,3253020130.244095
2024-01-15,75868.1195763889,3233240766.4806814
2024-01-16,74566.21008333334,3202087287.1075673
2024-01-17,75371.49330208333,3220785775.9066887
2024-01-18,76650.0363298611,3239407224.207246
2024-01-19,77772.97685763889,3212074548.076336
2024-01-20,74596.67974305555,3104992682.206698
2024-01-21,74673.63705555555,3113497077.270815
2024-01-22,76709.6976875,3125237064.2128057
2024-01-23,76764.71073611111,3027104405.250113
2024-01-24,76067.56972569444,3036741694.0556855
2024-01-25,77748.47783333334,3106228024.8536243
2024-01-26,79117.94259027779,3238234191.9665704
2024-01-27,78693.39965972223,3290491184.139924
2024-01-28,76847.43655902777,3245226813.9725623
2024-01-29,76155.00275,3233256554.4997196
2024-01-30,77208.97307638888,3350679966.9222746
2024-01-31,73802.68284375001,3166906670.5021453
2024-02-01,73696.06534722222,3128440033.5207095
2024-02-02,74674.044,3215017934.551769
2024-02-03,75508.64982638888,3253737848.4937563
2024-02-04,76804.27841666667,3292704158.8473377
2024-02-05,78912.59243055555,3376229492.7151504
2024-02-06,80525.95025347223,3458253915.242308
2024-02-07,79961.08763194445,3459350086.988174
2024-02-08,84882.21248958334,3809464424.756626
2024-02-09,84313.2097048611,3941369252.7782984
2024-02-10,84923.40386458334,4019661277.7035775
2024-02-11,88497.5420798611,4259492959.5752697
2024-02-12,90823.01340972222,4430841433.512177
2024-02-13,91536.84004513889,4543945537.841535
2024-02-14,89433.5200798611,4548210525.149909
2024-02-15,89457.38206944444,4659493592.618154
2024-02-16,88528.23417177914,4611121445.169252
2024-02-17,88190.62717708334,4554061975.590575
2024-02-18,86633.54662847222,4484876638.647998
2024-02-19,86899.41737847222,4532269929.4353895
2024-02-20,88747.33564583334,4606542223.152078
2024-02-21,88387.50490972222,4551484655.310377
2024-02-22,86720.90490625001,4475391706.454016
2024-02-23,87748.8126875,4485836249.441479
2024-02-24,87922.90015625,4499555224.529346
2024-02-25,87066.85578472223,4498721626.535889
2024-02-26,86686.64167708333,4537151917.887287
2024-02-27,81507.79354513889,4606265037.980169
2024-02-28,80130.28142708333,4751513332.895332
2024-02-29,75072.85827430554,4666083599.380236
2024-03-01,74050.07018750001,4584898852.414005
2024-03-02,73300.90367708333,4547020665.856031
2024-03-03,74190.69503472223,4618723999.892101
2024-03-04,79677.48853310104,5212875630.508993
2024-03-05,79873.22522996516,5298431021.96232
2024-03-06,73911.60660627177,4875782238.258809
2024-03-07,73260.209,4843864009.901637
