date,cm_price_usd,cm_market_cap_usd,cm_mvrv,cm_active_addresses,cm_tx_count,cm_hash_rate,cm_fees_btc,cm_exchange_inflow_usd,cm_exchange_outflow_usd,cm_supply,cm_exchange_supply_usd,cm_spot_volume_usd,cm_roi_30d,cm_roi_1y
2015-04-13,225.505635885447,3168453355.0185876,0.76357046,276787,116290,383446.972478619,17.41934865,15463220.727765718,13265357.669534216,14050439.77095148,316477953.28665406,18967826.8391525,-20.486942408605007,-45.83908673829483
2015-04-14,219.757236703682,3088504414.231545,0.74489185,255342,108751,366241.018585348,15.8165952,14557882.865552444,13281651.81728325,14054164.77090148,309686795.683742,17931690.7197101,-23.501539297915453,-52.34150802323888
2015-04-15,223.313907948568,3139171565.362344,0.75926768,227570,107977,299875.196425587,15.62505405,10688103.914914094,13743853.00243738,14057214.77090148,311643186.98190457,11113852.6722988,-23.36309251066233,-57.18800654098646
2015-04-16,228.493815312683,3212774939.335911,0.77719921,225691,99527,339203.091038779,14.05114033,12280618.327610824,9480917.795251079,14060664.77090148,321671648.38300353,12709751.29922,-19.896546983306074,-57.00816185582692
2015-04-17,222.785060198714,3133207820.358849,0.75827898,228675,100988,309707.170078885,14.45299191,11952143.867740203,11102920.068369856,14063814.77090148,314484135.3227247,10823799.3246374,-13.40962138140094,-55.42850681982401
2015-04-18,223.398044126242,3142644115.6342034,0.76055574,250243,97580,358867.038345374,13.26933489,8952653.449928945,10038822.0949287,14067464.77090148,314263256.8378615,5725026.4105064,-14.76380961604853,-53.749733371928045
2015-04-19,223.284135300994,3141851112.238399,0.76035314,276814,93417,351846.074225004,13.33739209,6482649.504262127,6201508.643162128,14071089.77090148,314384157.44911945,7310154.267574,-15.090271194058538,-55.72970530989989
2015-04-20,224.894903565167,3165382222.462422,0.76631946,245521,116476,364477.035874265,16.98677509,10414134.612248687,11956151.087510845,14074939.77090148,315110103.3747469,9128127.01067993,-13.894171384292392,-55.16066551570585
2015-04-21,234.939356516657,3307655935.8249736,0.80085177,243752,110257,362110.301875082,15.16383331,10802185.50124196,12037845.513748096,14078764.77090148,327948166.50007814,13855471.6163151,-12.629279694086874,-52.831428758752565
2015-04-22,233.822418760958,3292819357.09004,0.79730639,265898,113336,359743.567875898,16.09570263,10041752.29924994,9237231.735274686,14082564.77090148,327193571.1521554,11229006.8774956,-12.353183205505456,-52.23273909782608
2015-04-23,235.933293687902,3323312673.176487,0.80445024,264221,109934,307675.41989386,16.01780275,9031952.478870649,8714030.572634619,14085814.77090148,330465293.25112844,7537602.01636436,-4.41662877591658,-51.91246628426565
2015-04-24,231.458592343659,3261000380.5226417,0.78956794,252037,105601,293475.015898758,15.05387768,10554173.597821657,10521502.420956861,14088914.77090148,324230372.9879628,10095497.464725,-6.18539146121501,-54.01105444781751
2015-04-25,226.445992986558,3191301062.82119,0.77276772,268305,100598,385777.641866917,99.66973292,8311562.188890098,7449443.765747472,14092989.77090148,318070773.4323708,6527386.08843898,-9.252083363430254,-51.45083897545044
2015-04-26,220.503406779661,3108346068.4578934,0.75294572,275889,93522,340809.69588243,13.5487858,10946199.389937216,9974662.272574732,14096589.77089602,310695229.7907089,15279136.8901745,-10.864100256554323,-51.98375833438416
2015-04-27,227.325990356517,3205299821.835456,0.77665961,253708,113365,324242.557888145,15.64242508,13852943.368651144,15404775.579233423,14100014.77089602,318756601.3085196,15776002.4676165,-10.23001165057993,-48.18300926373425
2015-04-28,225.549368790181,3181112157.843448,0.77087913,255162,113542,362110.301875082,16.2919516,11348781.9497941,12247724.164010577,14103839.77089602,315366479.57097393,9059002.52754728,-7.168957691537428,-48.918471341721656
2015-04-29,225.66928842782,3183519985.1888514,0.77154151,261510,117554,300575.217896309,16.90727715,9429932.701511009,12287077.871261636,14107014.77089602,312677007.8208232,7838767.59704307,-9.12777882003814,-49.59475479164204
2015-04-30,236.327976037405,3334673947.4553585,0.80792304,240159,110679,317142.355890594,16.45477351,13033144.915839491,12510313.691386212,14110364.77089602,327968027.36314714,18045164.3647109,-3.4262696568807844,-47.35113353887165
2015-05-01,232.746582700175,3285000343.4349766,0.7959527,225580,101452,350276.631879164,14.0104506,10039614.52546605,9488670.905073741,14114064.77089602,323548833.60193324,9337695.91269531,-5.841450265434081,-49.42432331745252
2015-05-02,235.540077147867,3325293514.790359,0.80559481,264029,92909,347909.89787998,13.68364567,5451687.0033218255,5847036.570153126,14117739.77089602,327036814.392689,5519639.91896703,-7.132432384043974,-47.916992779365785
2015-05-03,240.464248977206,3395659327.7417884,0.8223728,247646,83855,333776.412541361,12.31324554,10314738.198914012,7196834.259062965,14121264.77089602,336991709.6763879,8214419.57117921,-5.638557581810132,-45.221872877771254
2015-05-04,238.976661309176,3375417433.7278066,0.81741779,255868,104511,303150.868676707,15.14047929,12967837.042862736,11052095.695100823,14124464.77089602,336822714.04692686,11513914.0780965,-5.8946375372225415,-45.27361466872649
2015-05-05,236.02338340152,3334612653.9885497,0.80768013,263807,115789,364728.388876663,16.41240338,9490541.12819716,9602746.586436912,14128314.77089602,332548047.3895803,12000145.5536467,-9.608420789404578,-45.40769359575861
