date,solana_tvl_usd
2023-07-24,310747628
2023-07-25,304737943
2023-07-26,305463199
2023-07-27,316580042
2023-07-28,316530093
2023-07-29,316573265
2023-07-30,318209131
2023-07-31,314926518
2023-08-01,315344339
2023-08-02,308868619
2023-08-03,306779224
2023-08-04,307633001
2023-08-05,303664865
2023-08-06,304468642
2023-08-07,310493415
2023-08-08,310412566
2023-08-09,320625754
2023-08-10,321425341
2023-08-11,324943495
2023-08-12,324852999
2023-08-13,327882474
2023-08-14,324068496
2023-08-15,328208259
2023-08-16,320380092
2023-08-17,315611718
2023-08-18,309450128
2023-08-19,307405695
2023-08-20,310735305
2023-08-21,309882199
2023-08-22,306962861
2023-08-23,304352842
2023-08-24,314816852
2023-08-25,309967594
2023-08-26,309429595
2023-08-27,308501562
2023-08-28,312129664
2023-08-29,311026936
2023-08-30,318463769
2023-08-31,315085925
2023-09-01,308996866
2023-09-02,306252445
2023-09-03,307394978
2023-09-04,306952425
2023-09-05,306360068
2023-09-06,310852598
2023-09-07,307835627
2023-09-08,310643551
2023-09-09,307053091
2023-09-10,306151944
2023-09-11,298402094
2023-09-12,295234442
2023-09-13,298783953
2023-09-14,302287669
2023-09-15,303267492
2023-09-16,306531807
2023-09-17,304619638
2023-09-18,302956731
2023-09-19,308245266
2023-09-20,309043433
2023-09-21,313747807
2023-09-22,310242207
2023-09-23,311642573
2023-09-24,311725985
2023-09-25,310613096
2023-09-26,311821800
2023-09-27,310568262
2023-09-28,311520065
2023-09-29,318138324
2023-09-30,319249502
2023-10-01,322888458
2023-10-02,333822920
2023-10-03,332883859
2023-10-04,331283941
2023-10-05,327601429
2023-10-06,325482166
2023-10-07,325756823
2023-10-08,325041190
2023-10-09,314418913
2023-10-10,310500507
2023-10-11,310798264
2023-10-12,311899408
2023-10-13,308120985
2023-10-14,312727158
2023-10-15,312258250
2023-10-16,313167885
2023-10-17,326922235
2023-10-18,325198997
2023-10-19,322252785
2023-10-20,329254904
2023-10-21,331434068
2023-10-22,353760859
2023-10-23,351342249
